3,918,12,7,11,31,33,38,5
1,919,43,19,44,39,20,16,23
1,919,18,42,14,9,17,44,35
3,920,27,14,17,40,30,23,26
3,920,3,34,26,43,2,33,29
4,921,3,9,10,22,25,45,43
4,921,41,5,22,7,28,12,1
4,922,36,11,26,28,20,18,7
4,922,2,6,13,27,43,17,36
3,923,13,41,20,5,38,25,31
3,923,41,36,23,18,17,3,26
2,924,16,28,31,26,35,17,29
2,924,42,44,3,34,11,43,13
4,925,1,2,6,13,45,40,37
4,925,39,24,34,13,42,32,4
4,926,19,37,9,44,40,23,30
4,926,25,18,31,16,20,10,6
4,927,32,4,1,11,42,34,21
4,927,15,43,41,22,4,38,26
5,928,23,4,16,12,42,8,25
5,928,44,20,4,3,10,28,30
2,929,26,30,12,37,24,42,14
2,929,9,19,7,15,23,12,4
4,930,3,17,42,16,21,30,43
4,930,25,44,21,39,8,38,28
5,931,30,13,21,26,1,27,8
5,931,15,35,14,43,25,23,32
4,932,44,10,42,43,21,35,14
4,932,37,38,36,15,6,1,5
4,933,33,44,37,8,17,36,30
4,933,45,36,31,23,29,27,37
2,934,6,26,18,24,19,43,45
2,934,39,36,3,30,1,33,12
2,935,14,31,27,36,26,35,16
2,935,32,38,4,44,10,20,18
4,936,15,16,3,20,6,26,30
4,936,17,18,29,7,11,13,43
2,937,6,42,20,37,16,27,19
2,937,29,2,40,10,13,22,26
3,938,1,3,23,40,44,29,43
3,938,31,4,16,10,36,8,9
2,939,15,11,23,37,22,10,32
2,939,4,45,39,42,28,11,6
4,940,26,28,45,30,9,36,5
4,940,22,24,41,3,20,15,11
3,941,35,19,44,41,34,22,37
3,941,39,12,40,14,27,25,35
2,942,33,22,34,9,23,18,12
2,942,12,10,43,35,42,18,39
3,943,3,28,39,6,30,37,32
3,943,45,13,1,8,44,36,39
5,944,32,35,8,37,33,18,3
5,944,33,32,19,13,2,16,42
3,945,7,41,17,9,19,8,39
3,945,37,9,30,10,33,15,26
4,946,7,21,16,11,43,39,42
4,946,34,19,30,9,18,40,20
2,947,14,29,26,9,39,32,3
2,947,27,17,35,20,3,8,26
5,948,21,30,27,3,44,22,4
5,948,30,18,13,41,31,38,5
1,949,4,20,13,40,17,42,19
1,949,36,21,44,40,35,14,30
3,950,28,34,25,41,26,23,38
3,950,22,4,28,3,15,40,10
5,951,9,32,7,16,29,31,6
5,951,2,12,39,30,31,43,38
3,952,43,30,24,4,20,40,35
3,952,41,24,33,12,4,22,38
4,953,39,20,35,23,7,22,33
4,953,37,7,27,22,42,9,34
1,954,41,6,20,15,19,8,25
1,954,26,41,30,28,1,9,32
2,955,4,5,36,27,18,42,24
2,955,23,26,33,29,4,9,8
1,956,25,12,31,27,43,17,19
1,956,11,25,41,20,10,21,40
2,957,12,40,31,28,16,17,36
2,957,4,40,24,15,36,35,1
4,958,4,6,11,43,7,27,1
4,958,2,16,35,37,10,9,1
5,959,20,37,27,9,43,34,6
5,959,1,14,40,41,24,15,35
1,960,45,37,7,31,26,8,28
1,960,30,2,32,45,24,18,14
4,961,31,21,38,9,16,19,14
4,961,11,29,33,42,31,20,43
5,962,1,2,27,9,20,31,22
5,962,34,28,43,1,31,18,40
5,963,11,39,18,42,30,9,32
5,963,19,42,6,34,23,12,35
4,964,45,14,15,28,34,21,33
4,964,39,6,21,38,43,36,30
